地名,センター（center.csvを使わない場合は空白化）,燃えるごみ,燃えないごみ,新聞紙、雑誌・雑がみ、段ボール、シュレッダーくず、古布類、ふとん,ビン、カン、ペットボトル、プラスチック容器（資源）
喜平町,東地区,月 木,金,火,水
学園東町,東地区,月 木,金,火,水
仲町,東地区,月 木,金,火,水
美園町,東地区,月 木,金,火,水
回田町,東地区,月 木,金,火,水
御幸町,東地区,月 木,金,火,水
鈴木町,東地区,月 木,金,火,水
天神町,東地区,月 木,金,火,水
大沼町,東地区,月 木,金,火,水
花小金井南町,東地区,月 木,金,火,水
花小金井,東地区,月 木,金,火,水
中島町,西地区,火 金,水,木,月
上水新町,西地区,火 金,水,木,月
たかの台,西地区,火 金,水,木,月
小川町,西地区,火 金,水,木,月
栄町,西地区,火 金,水,木,月
小川西町,西地区,火 金,水,木,月
小川東町,西地区,火 金,水,木,月
上水本町,西地区,火 金,水,木,月
上水南町,西地区,火 金,水,木,月
津田町,西地区,火 金,水,木,月
学園西町,西地区,火 金,水,木,月
